Pleiotropy_number Dev_stage Tissue Singletons Doubletons Common_vars Singletons_control doubletons_control common_control
6,Adult,iPSC,18464,5302,35001,15579,4514,31404
6,Adult,ES-deriv,32062,9174,60657,27203,7904,53974
6,Adult,Blood & T-cell,10340,2899,19552,8790,2566,17574
6,Fetal,Blood & T-cell,4773,1366,9154,3999,1162,8083
6,Adult,HSC & B-cell,16239,4647,31156,13822,3963,27831
6,Fetal,HSC & B-cell,14059,3971,26928,12044,3451,24164
6,Adult,Mesench,25870,7340,48516,22046,6370,43884
6,Adult,Myosat,13226,3812,24628,11307,3278,22428
6,Adult,Epithelial,34342,9723,64245,29029,8418,57910
6,Adult,Neurosph,10941,3092,20324,9416,2688,18688
6,Adult,Thymus,3206,895,6229,2755,782,5538
6,Fetal,Thymus,6330,1793,12171,5284,1524,10964
6,Adult,Brain,15996,4527,29248,13707,3950,26741
6,Fetal,Brain,8150,2331,14727,6765,1925,13521
6,Adult,Adipose,7028,2056,13489,6351,1798,12317
6,Adult,Muscle,10309,2954,18812,8907,2581,17287
6,Fetal,Muscle,13749,3962,26219,11701,3436,23461
6,Fetal,Heart,10255,2949,19254,8729,2511,17260
6,Adult,Heart,9784,2752,18399,8466,2398,16602
6,Adult,Sm. Muscle,8866,2527,16182,7589,2217,14795
6,Fetal,Digestive,14533,4202,27867,12372,3575,25047
6,Adult,Digestive,15592,4483,29729,13278,3876,26430
6,Adult,Ovary,4708,1403,8969,4000,1109,7950
7,Adult, Unknown)",0,0,0,0,0,0
7,Adult,ESC,19066,5371,36482,15859,4607,32322
7,Adult,iPSC,17195,4887,32804,14175,4178,28937
7,Adult,ES-deriv,29465,8353,55699,24187,7021,48751
7,Adult,Blood & T-cell,10602,3032,19693,8902,2642,17839
7,Fetal,Blood & T-cell,4840,1334,9002,4130,1175,7987
7,Adult,HSC & B-cell,15959,4804,30672,13688,4036,27377
7,Fetal,HSC & B-cell,13698,3992,26295,11801,3470,23634
7,Adult,Mesench,24170,6949,44985,20226,5871,40160
7,Adult,Myosat,12236,3590,23097,10233,3021,20446
7,Adult,Epithelial,31309,9080,58699,26140,7579,52172
7,Adult,Neurosph,10928,3121,20032,9200,2688,18163
7,Adult,Thymus,3534,981,6472,2961,838,5794
7,Fetal,Thymus,6590,1919,12488,5523,1582,11132
7,Adult,Brain,16091,4571,29241,13484,3988,26851
7,Fetal,Brain,7908,2171,14171,6284,1801,12749
7,Adult,Adipose,8124,2310,15372,7036,1989,14102
7,Adult,Muscle,11241,3309,21003,9475,2737,18898
7,Fetal,Muscle,14991,4249,28632,12166,3501,25087
7,Fetal,Heart,10374,3052,19534,8569,2486,17052
7,Adult,Heart,11053,3183,20918,9183,2645,18518
7,Adult,Sm. Muscle,10150,2851,18594,8676,2473,17054
7,Fetal,Digestive,15262,4374,29153,12532,3670,25631
7,Adult,Digestive,16252,4732,30845,13467,3907,27000
7,Adult,Ovary,5463,1571,10115,4410,1293,8701
8,Adult, Unknown)",0,0,0,0,0,0
8,Adult,ESC,17547,5274,33728,14319,4316,29860
8,Adult,iPSC,15627,4717,30034,12858,3845,26435
8,Adult,ES-deriv,26406,7673,50472,21721,6429,44336
